track_name,artists,album_name,duration_minutes,valence,energy,tempo,popularity,My_Rating,Vibe_Category
Light Me Up,Ingrid Michaelson,It Doesn't Have To Make Sense,4.1306666666666665,0.117,0.595,147.928,56,,Chill/Casual
93 Million Miles,Jason Mraz,Love Is a Four Letter Word,3.6064333333333334,0.515,0.454,140.182,67,,Chill/Casual
Kaleidoscope,A Great Big World,When the Morning Comes,3.822,0.519,0.913,108.024,62,,Chill/Casual
The Long Road,Eddie Vedder;Nusrat Fateh Ali Khan,"Eat, Pray, Love",5.51555,0.253,0.342,109.236,45,,Sad/Moody
What Would I Do Without You,Drew Holcomb & The Neighbors,Good Light,2.870216666666667,0.335,0.336,90.894,64,,Sad/Moody
Have It All,Jason Mraz,Know.,3.7684333333333333,0.6,0.638,82.001,65,,Chill/Casual
Society,Eddie Vedder,Into The Wild (Music For The Motion Picture),3.9384333333333332,0.298,0.327,161.858,68,,Sad/Moody
Guaranteed,Eddie Vedder,Into The Wild (Music For The Motion Picture),2.7416666666666667,0.351,0.4,100.734,61,,Chill/Casual
Brave,Sara Bareilles,The Blessed Unrest,3.6762166666666665,0.758,0.836,185.063,70,,Party Anthem
Heaven Knows,Five For Fighting,Bookmarks,3.5102,0.392,0.845,97.631,62,,Chill/Casual
Rain,Motohiro Hata,言ノ葉,4.884,0.542,0.655,92.003,58,,Chill/Casual
Somebody Else - Acoustic,Callum J Wright,Somebody Else (Acoustic),2.30825,0.617,0.38,114.99,50,,Chill/Casual
Pieces (Hushed),Andrew Belle,Black Bear (Hushed),3.310433333333333,0.0951,0.279,69.642,59,,Sad/Moody
Mirrors,Boyce Avenue;Fifth Harmony,"Cover Sessions, Vol. 3",4.8761,0.683,0.658,76.971,57,,Party Anthem
Stand by Me,Boyce Avenue,Stand by Me,3.3169833333333334,0.307,0.266,115.189,60,,Sad/Moody
Losing Me,Gabrielle Aplin;JP Cooper,Dear Happy,3.029333333333333,0.257,0.407,133.86,61,,Chill/Casual
なんでもないや - movie ver.,Mone Kamishiraishi,chouchou,5.832,0.325,0.161,83.449,49,,Sad/Moody
You’re Beautiful - Acoustic,John Adams,You’re Beautiful (Acoustic),3.4162166666666667,0.36,0.154,147.207,55,,Sad/Moody
Hikare Inochi,Kitri,Hikare Inochi,5.3691,0.385,0.769,102.033,51,,Chill/Casual
How To Lose a Girl,Tyler Ward,Songs From Nashville,3.50625,0.34,0.454,80.011,46,,Chill/Casual
Can’t Help Falling in Love,Boyce Avenue,"Cover Sessions, Vol. 6",2.183333333333333,0.148,0.197,100.044,57,,Sad/Moody
Dive Deep (Hushed),Andrew Belle,Dive Deep (Hushed),3.6421833333333336,0.085,0.378,135.86,58,,Sad/Moody
When the Party's over (Acoustic Piano),Ben Woodward,When the Party's over (Acoustic Piano),3.26575,0.188,0.226,124.96,51,,Sad/Moody
Boston,Augustana,All The Stars and Boulevards,4.098883333333333,0.29,0.571,147.01,63,,Chill/Casual
Living in the Shadows,Matthew Perryman Jones,Living in the Shadows,3.5397666666666665,0.197,0.79,175.975,53,,Chill/Casual
In Case You Didn’t Know,Boyce Avenue,"Cover Sessions, Vol. 4",3.75275,0.341,0.299,147.549,60,,Sad/Moody
death bed (coffee for your head),Andrew Foy;Renee Foy,death bed (coffee for your head),1.8668,0.601,0.0392,125.399,47,,Chill/Casual
You Are My Sunshine,Kina Grannis,You Are My Sunshine,2.06015,0.575,0.0755,80.004,60,,Chill/Casual
I Won't Give Up,Jason Mraz,I Won't Give Up,4.00275,0.142,0.303,136.703,66,,Sad/Moody
I Was Born To Love You,Ray LaMontagne;Sierra Ferrell,I Was Born To Love You,4.430716666666667,0.21,0.271,78.036,67,,Sad/Moody
Only Love Can Hurt Like This,Meg Birch,Life Sucks Playlist,3.2365666666666666,0.0998,0.213,98.385,43,,Sad/Moody
Mr Blue,Catherine Feeny,Hurricane Glass,2.5766666666666667,0.612,0.386,165.733,54,,Chill/Casual
Do Not Let Me Go,Joshua Hyslop,Where The Mountain Meets The Valley,2.6493333333333333,0.145,0.234,139.832,60,,Sad/Moody
Holding On And Letting Go,Ross Copperman,Holding On And Letting Go - Single,5.316666666666666,0.102,0.53,78.046,49,,Chill/Casual
You Already Know,JJ Heller,You Already Know,3.5726666666666667,0.318,0.117,78.068,57,,Sad/Moody
Believer (Remix),Ben Woodward,Believer (Remix),3.408,0.333,0.724,187.484,42,,Chill/Casual
Collide - Acoustic Version,Howie Day,Stop All the World Now (Special Edition),4.616666666666666,0.294,0.253,90.186,67,,Sad/Moody
Love Like This,Ben Rector,Magic,3.570666666666667,0.392,0.14,139.78,61,,Sad/Moody
Come On Get Higher,Matt Nathanson,Some Mad Hope,3.5862166666666666,0.617,0.623,92.018,71,,Party Anthem
"""Something In the Rain"" (Something In the Rain, Pt. 1) [Music from the Original TV Series]",Rachael Yamagata,Something In the Rain (Music from the Original TV Series),4.9477,0.113,0.272,143.413,49,,Sad/Moody
Kiss Me Slowly,Parachute,The Way It Was,3.9302166666666665,0.431,0.801,173.92,61,,Chill/Casual
Without You,Parachute,Wide Awake,3.81555,0.534,0.864,95.984,61,,Chill/Casual
Absolutely Zero,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),5.653266666666667,0.116,0.495,135.061,20,,Chill/Casual
Sleep All Day,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),4.947383333333334,0.79,0.81,97.994,22,,Party Anthem
You and I Both,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),3.6373333333333333,0.74,0.812,98.954,35,,Party Anthem
Long Nights,Eddie Vedder,Into The Wild (Music For The Motion Picture),2.52955,0.0974,0.305,108.66,60,,Sad/Moody
Please Don't Say You Love Me,Gabrielle Aplin,English Rain,3.0233333333333334,0.321,0.541,85.994,59,,Chill/Casual
Suddenly I See,KT Tunstall,Eye To The Telescope,3.3617666666666666,0.664,0.767,100.38,73,,Party Anthem
Who Needs Shelter,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),3.2043333333333335,0.264,0.569,142.597,22,,Chill/Casual
No Stopping Us,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),3.31425,0.727,0.836,105.991,19,,Party Anthem
I'll Do Anything,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),3.19815,0.648,0.711,163.117,24,,Party Anthem
Make You Feel My Love,JJ Heller,I Dream of You: CALM,2.8548833333333334,0.262,0.199,72.006,57,,Sad/Moody
The Remedy (I Won't Worry),Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),4.274,0.795,0.867,94.52,35,,Party Anthem
Too Much Food,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),3.6904166666666667,0.548,0.926,99.997,20,,Chill/Casual
The Boy's Gone,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),4.250783333333334,0.36,0.556,112.997,18,,Chill/Casual
"On Love, in Sadness",Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),3.4798833333333334,0.802,0.832,100.957,19,,Party Anthem
Curbside Prophet,Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),3.5758666666666667,0.892,0.793,177.991,23,,Party Anthem
"Tonight, Not Again - Live",Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),4.4046666666666665,0.594,0.278,102.187,19,,Chill/Casual
"Tonight, Not Again",Jason Mraz,Waiting for My Rocket to Come (Expanded Edition),4.81735,0.359,0.805,102.44,18,,Chill/Casual
Hard Sun,Eddie Vedder,Into The Wild (Music For The Motion Picture),5.368,0.645,0.827,143.377,65,,Party Anthem
Here with Me,Susie Suh;Robot Koch,Here with Me,3.98285,0.106,0.375,129.909,55,,Sad/Moody
The Scientist,Tyler Ward;Lindsey Stirling;Kina Grannis,"Tyler Ward Covers, Vol. 5",4.609583333333333,0.14,0.295,146.022,47,,Sad/Moody
Collide,Howie Day,Stop All The World Now,4.152,0.342,0.625,93.931,56,,Chill/Casual
get better,Eden Elf;Ren Avel,get better,1.8622333333333334,0.4,0.201,88.107,53,,Chill/Casual
Sympathy,Kitri,Hikare Inochi,3.5126666666666666,0.59,0.423,130.121,49,,Chill/Casual
Let It Go,Boyce Avenue;Rachel Grae,Let It Go,4.261466666666666,0.444,0.349,147.913,51,,Chill/Casual
What You Need,Chord Overstreet,What You Need,3.0297666666666667,0.192,0.264,140.354,53,,Sad/Moody
100 Years,Five For Fighting,The Battle for Everything,4.076666666666667,0.275,0.569,120.507,66,,Chill/Casual
You're the Sea,Andrew Belle,Nightshade,2.9091,0.529,0.624,161.025,56,,Chill/Casual
No Direction,Rachael Yamagata,"One Spring Night (Original Television Soundtrack), Pt. 1",3.9055,0.613,0.821,111.958,47,,Party Anthem
Belong,Cary Brothers,Under Control,4.26,0.217,0.399,115.979,51,,Sad/Moody
As It Was,The Mayries,As It Was,2.9423666666666666,0.323,0.21,80.721,55,,Sad/Moody
I'm Yours,Jason Mraz,I'm Yours,4.058233333333333,0.731,0.43,151.001,60,,Chill/Casual
Chi Mai,Joseph Sullinger,Chi Mai,3.1449166666666666,0.557,0.287,80.64,40,,Chill/Casual
Say Something,A Great Big World;Christina Aguilera,Say Something,3.8233333333333333,0.0915,0.146,137.905,58,,Sad/Moody
Had It All,Parachute,Parachute,3.6142166666666666,0.249,0.54,79.952,55,,Chill/Casual
Take Me Back ft. Yonnyboii,Zack Tabudlo;Yonnyboii,Take Me Back,2.4833333333333334,0.563,0.646,120.049,50,,Chill/Casual
Whole Again - Acoustic Version,Tobey Rosen,Whole Again (Acoustic Version),2.6205166666666666,0.235,0.145,129.832,52,,Sad/Moody
Overpass Graffiti,The Mayries,Overpass Graffiti,3.7767166666666667,0.279,0.126,96.327,54,,Sad/Moody
Love Song,Sara Bareilles,Little Voice,4.313766666666667,0.573,0.786,123.055,73,,Chill/Casual
Let Her Go,Andrew Foy;Renee Foy,Let Her Go,3.23355,0.376,0.291,75.153,38,,Sad/Moody
Brighter Than Sunshine,Aqualung,Still Life,4.04065,0.398,0.489,72.891,53,,Chill/Casual
Love Story,Tyler Ward;Karis;Ray Lorraine,Love Story,3.875,0.338,0.12,121.187,55,,Sad/Moody
Mujer con Abanico,Agustín Amigó;Nylonwings,Mujer con Abanico,2.6131166666666665,0.471,0.135,103.939,41,,Chill/Casual
In the Shadows,Amy Stroup,In the Shadows,4.39705,0.0568,0.469,136.282,46,,Chill/Casual
Can You Feel the Love Tonight,Boyce Avenue;Connie Talbot,Can You Feel the Love Tonight,4.181933333333333,0.217,0.198,119.499,63,,Sad/Moody
The Story,Brandi Carlile,The Story,3.9748833333333335,0.177,0.5,93.621,66,,Chill/Casual
Better,JJ Heller,Better,3.5984333333333334,0.233,0.187,104.988,54,,Sad/Moody
Iris,Kina Grannis,Iris,3.0189333333333335,0.179,0.13,130.769,62,,Sad/Moody
Rockabye - Acoustic Version,The Mayries,#Acoustic,2.624433333333333,0.355,0.291,76.805,57,,Sad/Moody
I Need You More Today,Caleb Santos;Viva Music Publishing Inc.,I Need You More Today,3.8954666666666666,0.446,0.522,157.768,68,,Chill/Casual
Beautiful Soul,Boyce Avenue,"Cover Sessions, Vol. 4",3.6102,0.705,0.506,87.337,62,,Chill/Casual
Let's See What The Night Can Do,Jason Mraz,Know.,4.086433333333333,0.288,0.423,113.537,53,,Chill/Casual
"La La La (Something In the Rain, Pt. 2) [Music from the Original TV Series]",Rachael Yamagata,Something In the Rain (Music from the Original TV Series),3.6602166666666665,0.164,0.2,87.248,44,,Sad/Moody
Forever And Always,Parachute,The Way It Was,4.149333333333334,0.435,0.716,93.924,57,,Chill/Casual
Fine On The Outside,Priscilla Ahn,When Marnie Was There Song Album - Just Know That I Love You.,4.207766666666667,0.196,0.185,101.89,52,,Sad/Moody
Tortured Soul,Chord Overstreet,Tree House Tapes,4.110216666666667,0.144,0.499,86.966,53,,Chill/Casual
I Believe in You,JJ Heller,I Believe in You,3.3131,0.267,0.359,131.804,53,,Sad/Moody
At Home,Jon Bryant,Cult Classic,3.7773333333333334,0.357,0.52,73.744,55,,Chill/Casual
"Portland, Maine",Donovan Woods,"Hard Settle, Ain't Troubled",3.3978166666666665,0.156,0.349,80.071,66,,Sad/Moody
Holding On and Letting Go,Ross Copperman,Holding On and Letting Go LP,5.290683333333333,0.0992,0.555,77.987,49,,Chill/Casual
The Flood,Joshua Hyslop,In Deepest Blue (Bonus Track Version),4.360666666666667,0.262,0.446,81.005,60,,Chill/Casual
Hanggang Kailan (Umuwi Ka Na Baby),Angelina Cruz,Hanggang Kailan (Umuwi Ka Na Baby),3.532216666666667,0.276,0.407,145.852,38,,Chill/Casual
Out of My League,Stephen Speaks,No More Doubt,3.6466666666666665,0.4,0.315,91.921,67,,Chill/Casual
Say Something,A Great Big World,Is There Anybody Out There? - Track by Track Commentary,3.887766666666667,0.142,0.158,140.942,57,,Sad/Moody
Rise,Eddie Vedder,Into The Wild (Music For The Motion Picture),2.60755,0.526,0.58,173.277,60,,Chill/Casual
World Spins Madly On,The Weepies;Deb Talan;Steve Tannen,Say I Am You,2.7522166666666665,0.4,0.311,107.612,64,,Chill/Casual
ひまわりの約束,Motohiro Hata,青の光景,5.135766666666667,0.336,0.445,78.957,61,,Chill/Casual
Since U Been Gone - Acoustic Version,Thomas Daniel,Since U Been Gone,3.686166666666667,0.366,0.162,94.981,50,,Sad/Moody
"One more time,One more chance",Masayoshi Yamazaki,"One more time,One more chance",5.5131,0.396,0.429,129.491,47,,Chill/Casual
Creep,Kina Grannis,Creep,3.90225,0.179,0.103,133.057,58,,Sad/Moody
Higher Love,Todd Carey;Ariza;Chuck Leavell,Higher Love,2.8875,0.394,0.763,96.808,30,,Chill/Casual
Hyouriittai,YUZU,Shinsekai,5.610316666666667,0.333,0.891,159.888,52,,Chill/Casual
How Long Will I Love You,Canyon City,How Long Will I Love You,2.4138333333333333,0.224,0.157,136.11,55,,Sad/Moody
Binibini,Zack Tabudlo,Binibini,3.6923,0.0979,0.374,129.863,67,,Sad/Moody
You Were Supposed to Be Different,Aron Wright,You Were Supposed to Be Different,3.2162,0.137,0.239,73.761,45,,Sad/Moody
Thinking out Loud,Boyce Avenue,"Cover Sessions, Vol. 3",4.644,0.628,0.326,79.904,56,,Chill/Casual
Perfect / Style,Jonah Baker,Covers,3.5477333333333334,0.375,0.292,111.121,37,,Sad/Moody
Poison & Wine,The Civil Wars,Barton Hollow,3.657766666666667,0.203,0.186,153.848,54,,Sad/Moody
Collide,Howie Day,Stop All The World Now,4.152,0.342,0.625,93.931,66,,Chill/Casual
You And I,Ingrid Michaelson,Be OK,2.473333333333333,0.53,0.285,135.027,63,,Chill/Casual
Give Me Your Forever (ft. Billkin),Zack Tabudlo;Billkin,Give Me Your Forever,4.08,0.275,0.439,99.976,58,,Chill/Casual
Falling in Love at a Coffee Shop,Landon Pigg,Coffee Shop,4.514,0.243,0.298,83.555,55,,Sad/Moody
Breathe (2 AM),Anna Nalick,Wreck of the Day,4.663766666666667,0.287,0.452,169.837,65,,Chill/Casual
Habang Buhay,Zack Tabudlo,Episode,4.067783333333334,0.183,0.668,118.013,69,,Chill/Casual
Beautiful Soul,Jonah Baker,Beautiful Soul,3.5789666666666666,0.485,0.281,90.044,44,,Chill/Casual
Bulletproof,Ben Woodward,Bulletproof,3.4612833333333333,0.635,0.552,155.101,39,,Chill/Casual
Spectrum,Andrew Belle,Nightshade,4.4251,0.212,0.717,117.973,54,,Chill/Casual
Girls Like You - Acoustic Version,Jonah Baker,Girls Like You (Acoustic Version),3.141566666666667,0.3,0.138,115.65,44,,Sad/Moody
Nangangamba,Zack Tabudlo,Nangangamba,3.5059,0.208,0.547,98.032,70,,Chill/Casual
Better Together,Us The Duo,Better Together,3.3451,0.553,0.311,109.891,64,,Chill/Casual
Heartbreak Anniversary,Andrew Foy;Renee Foy,Heartbreak Anniversary,3.3209333333333335,0.339,0.122,130.014,40,,Sad/Moody
One More Time Around,Tyler Ward;Karis;Ray Lorraine,One More Time Around,3.427766666666667,0.187,0.358,134.279,47,,Sad/Moody
Say Something,A Great Big World,流星花園音樂專輯,3.826216666666667,0.155,0.101,139.896,40,,Sad/Moody
Heart Can’t Lose,Zack Tabudlo,Episode,4.015866666666667,0.374,0.567,125.871,55,,Chill/Casual
I Ain't Ever Loved No One - Acoustic,Donovan Woods;Tenille Townes,The Other Way,3.3265666666666664,0.16,0.213,160.389,57,,Sad/Moody
Empty,Ray LaMontagne,Till The Sun Turns Black,5.288,0.42,0.381,81.712,48,,Chill/Casual
"See You Again, Love Me Like You Do, Sugar - Acoustic Mashup",Megan Davies,"See You Again, Love Me Like You Do, Sugar (Acoustic Mashup)",3.8660833333333335,0.262,0.207,163.99,54,,Sad/Moody
The Reason,Tim Halperin,Covers,3.3466666666666667,0.209,0.207,149.664,53,,Sad/Moody
Fix You,Canyon City,Refuge,4.361083333333333,0.133,0.152,144.055,60,,Sad/Moody
Hand to Hold,JJ Heller,Hand to Hold,3.8600833333333333,0.261,0.313,133.737,54,,Sad/Moody
Hold You in My Arms,Ray LaMontagne,Trouble,5.1033333333333335,0.577,0.321,170.134,62,,Chill/Casual
One Last Dance,Us The Duo,Public Record,3.74745,0.171,0.161,139.167,51,,Sad/Moody
Heaven,Boyce Avenue;Megan Nicole,"Cover Sessions, Vol. 2",4.167716666666666,0.292,0.28,129.948,61,,Sad/Moody
The Spark - Bonus Track,Joshua Hyslop,In Deepest Blue (Bonus Track Version),3.36555,0.229,0.429,148.086,51,,Chill/Casual
American Beauty,Drew Holcomb & The Neighbors,Medicine,2.63355,0.178,0.169,167.826,63,,Sad/Moody
Such A Simple Thing,Ray LaMontagne,Part Of The Light,4.939766666666666,0.13,0.256,76.349,65,,Sad/Moody
Colors,Amos Lee,Amos Lee,2.6742166666666667,0.29,0.168,128.615,64,,Sad/Moody
Someone You Loved,Boyce Avenue,"Cover Sessions, Vol. 6",3.0407,0.371,0.364,110.023,57,,Sad/Moody
More Than Friends (feat. Meghan Trainor),Jason Mraz;Meghan Trainor,Know.,3.022666666666667,0.527,0.528,139.28,54,,Chill/Casual
Flurry Rush,Days N Daze,Show Me the Blueprints.,2.8219666666666665,0.92,0.674,87.603,37,,Party Anthem
I Choose You,Sara Bareilles,The Blessed Unrest,3.6428833333333333,0.947,0.572,154.038,63,,Chill/Casual
I Do Adore,Mindy Gledhill,Anchor,2.486,0.8,0.334,74.721,53,,Chill/Casual
Fuck You,Get Dead,Tall Cans & Loose Ends,2.8211,0.936,0.917,117.875,36,,Party Anthem
If I Ain't Got You - Acoustic,John Adams,If I Ain't Got You (Acoustic),2.9418166666666665,0.361,0.15,104.018,55,,Sad/Moody
Believe - Acoustic,John Adams,Believe (Acoustic),2.9981,0.182,0.241,123.95,57,,Sad/Moody
Iris - Acoustic,Adam Christopher,Iris (Acoustic),3.07,0.363,0.249,150.096,54,,Sad/Moody
Rain - Long Ver.,Motohiro Hata,言ノ葉,7.4551,0.351,0.604,92.02,44,,Chill/Casual
C'est si bon,Aoi Teshima,Cheek to Cheek~I Love Cinemas~,1.8057666666666667,0.479,0.203,113.913,51,,Chill/Casual
Baby (Acoustic Version),Jonah Baker,Baby (Acoustic Version),2.679466666666667,0.328,0.147,116.103,42,,Sad/Moody
Reason,YUZU,Land,5.072,0.468,0.819,122.527,47,,Chill/Casual
I Like Me Better,Boyce Avenue;Emma Heesters,I Like Me Better,3.3584666666666667,0.315,0.263,87.145,54,,Sad/Moody
Asan Ka Na Ba,Zack Tabudlo,Asan Ka Na Ba,4.018866666666667,0.493,0.768,105.999,73,,Chill/Casual
A Thousand Years,Boyce Avenue,"Cover Sessions, Vol. 3",4.395166666666666,0.228,0.221,139.529,56,,Sad/Moody
drivers license,Thomas Daniel,drivers license,4.10575,0.373,0.217,144.413,56,,Sad/Moody
Love Someone,Jason Mraz,YES!,4.286216666666666,0.0797,0.347,97.957,59,,Sad/Moody
The Winner Takes It All - Acoustic,Jae Hall,The Winner Takes It All (Acoustic),2.6502,0.149,0.127,62.535,57,,Sad/Moody
Only Time,Aaron Espe,Only Time,2.9757666666666664,0.361,0.261,136.053,56,,Sad/Moody
Almost Lover,A Fine Frenzy,One Cell In The Sea,4.48,0.167,0.24,119.58,57,,Sad/Moody
Dance Monkey,Roses & Frey,Dance Monkey,3.2975,0.317,0.192,139.938,51,,Sad/Moody
Ocean,Parachute,Parachute,3.7066666666666666,0.352,0.711,119.989,48,,Chill/Casual
Dream a Little Dream of Me,Kina Grannis,Dream a Little Dream of Me,2.3729833333333334,0.458,0.185,82.474,52,,Chill/Casual
Back For Good,The Mayries,Back For Good,3.24445,0.352,0.175,139.902,54,,Sad/Moody
OK,Canyon City,OK,3.54,0.486,0.183,79.961,55,,Chill/Casual
Just The Two Of Us,Andrew Foy;Renee Foy,Just The Two Of Us,3.271733333333333,0.597,0.083,90.865,41,,Chill/Casual
Hey There Delilah,Boyce Avenue,"Cover Sessions, Vol. 6",3.8478,0.258,0.319,105.036,49,,Sad/Moody
Arcade,Andrew Foy;Renee Foy,Arcade,3.1123,0.35,0.266,143.651,37,,Sad/Moody
Yellow,Kina Grannis,Yellow,3.2256,0.266,0.132,82.105,52,,Sad/Moody
Wake Me Up,Roses & Frey,Wake Me Up,3.2803166666666668,0.35,0.214,125.981,58,,Sad/Moody
Walking Blind,Aidan Hawken,Walking Blind (feat. Carina Round),3.3573333333333335,0.134,0.183,82.042,48,,Sad/Moody
Headphones,Jon Bryant,Headphones,3.4166333333333334,0.396,0.455,159.985,56,,Chill/Casual
Teenage Dream,The Rescues,Teenage Dream,3.65155,0.411,0.408,119.81,46,,Chill/Casual
The Worth Of The Wait,Ivan & Alyosha,The Worth Of The Wait,2.8633333333333333,0.344,0.618,82.051,55,,Chill/Casual
Can't Help Falling In Love - Piano Version,Kina Grannis,Can't Help Falling In Love (Piano Version),3.527066666666667,0.147,0.0937,164.721,54,,Sad/Moody
Never Come Back Again,Austin Plaine,Austin Plaine,3.2706666666666666,0.172,0.695,104.977,57,,Chill/Casual
Love You To Death,Chord Overstreet,Love You To Death,3.324316666666667,0.0987,0.344,147.924,49,,Sad/Moody
Someone You Loved - Acoustic,Plamina,Someone You Loved (Acoustic),2.820883333333333,0.31,0.298,106.244,55,,Sad/Moody
